game_series,game,task_category,task
deja_vu,deja_vu_1,Take,Take coat from the front door
deja_vu,deja_vu_1,Take,Take gun from the front door
deja_vu,deja_vu_1,Interact,Open the door
deja_vu,deja_vu_1,Interact,Close the door
deja_vu,deja_vu_1,Interact,Open the coat pocket
deja_vu,deja_vu_1,Interact,Open the wallet in the coat pocket
deja_vu,deja_vu_1,Interact,close the pocket
deja_vu,deja_vu_1,Interact,close the wallet
deja_vu,deja_vu_1,Inspect,check the coat
deja_vu,deja_vu_1,Inspect,check the gun
deja_vu,deja_vu_1,Interact,open the spigot
deja_vu,deja_vu_1,Combat,hit the bottle
deja_vu,deja_vu_1,Navigation,get into cellar
deja_vu,deja_vu_1,Navigation,enter connecting room
deja_vu,deja_vu_1,Navigation,go to empty room from map
deja_vu,deja_vu_1,Interact,unlock the front
deja_vu,deja_vu_1,Interact,meet the mugger
deja_vu,deja_vu_1,Combat,hit the mugger
deja_vu,deja_vu_1,Interact,unlock the car door
deja_vu,deja_vu_1,Interact,open the dashbrd
deja_vu,deja_vu_1,Interact,close the dashbrd
deja_vu,deja_vu_1,Inspect,check the note2
deja_vu,deja_vu_1,Inspect,check the map
deja_vu,deja_vu_1,Inspect,check the snapshot
deja_vu,deja_vu_1,Navigation,go to the newsstand
deja_vu,deja_vu_1,Navigation,enter taxi
deja_vu,deja_vu_1,Interact,talk to the taxi driver
deja_vu,deja_vu_1,Navigation,go to westend
deja_vu,deja_vu_1,Interact,pay for taxi fee
deja_vu,deja_vu_1,Navigation,go to apartment
deja_vu,deja_vu_1,Navigation,enter the westend lobby
deja_vu,deja_vu_1,Interact,open the elevator door
deja_vu,deja_vu_1,Navigation,enter elevator
deja_vu,deja_vu_1,Interact,close elevator door
deja_vu,deja_vu_1,Inspect,check the photo
deja_vu,deja_vu_1,Combat,shoot the door
deja_vu,deja_vu_1,Interact,open the desk
deja_vu,deja_vu_1,Navigation,enter the sherman
deja_vu,deja_vu_1,Navigation,go to building office
deja_vu,deja_vu_1,Interact,unlock the office door in sherman
deja_vu,deja_vu_1,Interact,make a medicine
deja_vu,deja_vu_1,Take,take a medicine
deja_vu,deja_vu_1,Combat,shoot the lock
deja_vu,deja_vu_1,Interact,open the diary to bookmark
deja_vu,deja_vu_1,Combat,shoot the door of Grimy office
deja_vu,deja_vu_1,Inspect,check the dead man on the floor
